Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Brazil,40.22,10.65,26.08,29.2,30.78,32.81
Kenya,40.21,10.73,26.11,35.35,35.06,27.32
China,40.04,16.38,28.72,40.37,29.16,60.88
Poland,40.04,15.67,28.38,30.55,33.45,59.61
Russia,39.21,11.36,25.89,31.08,39.61,38.94
Botswana,39.13,11.12,25.73,31.74,39.98,58.1
Malaysia,39.12,11,25.67,37.58,22.94,64.49
Iraq,39.04,11.28,25.76,31.85,32.72,42.43
Iran,39.01,14.48,27.28,35.54,25.12,22.69
Somalia,38.68,4.75,22.45,45.88,27.04,33.24
Peru,38.65,12.78,26.28,33.8,24.69,33.95
Vietnam,38.34,13.57,26.5,37.06,19.59,28.14
Montenegro,38.23,10.38,24.91,28.63,33.16,39.8
Ghana,37.65,19.41,28.93,37.17,26.59,14.66
Philippines,37.63,9,23.94,33.46,20.84,23.48
Indonesia,37.27,10.62,24.52,37.36,18.25,25.05
Bulgaria,36.7,9.64,23.75,30.09,29.14,49.37
Albania,36.39,8.55,23.07,28.39,26.75,29.56
Bosnia And Herzegovina,35.97,6.72,21.97,28.08,25.1,41.83
Mexico,35.72,11.46,24.11,32.39,32.12,41.81
Serbia,35.72,9.08,22.98,25.46,28.63,36.72
Romania,35.31,10.05,23.22,29.03,30.5,48.86
Tanzania,35.25,14.04,25.11,29.66,22.57,17.58
Belarus,34.7,10.5,23.13,28.06,38.94,37
Turkey,34.69,6.78,21.34,29.76,24.16,40.85
Bolivia,34.56,10.93,23.26,28.09,25.11,39.34
Morocco,34.32,8.94,22.18,30.11,24.5,35.25
Moldova,33.7,8.4,21.6,25.96,27.79,27.57
Rwanda,33.35,11.88,23.08,26.83,29.17,19.32
Ukraine,33.18,10.46,22.31,26.01,26.42,31.8
Argentina,32.95,8.33,21.17,25.82,30.52,47.22
Armenia,32.84,10.91,22.35,25.61,30.43,28
Bangladesh,32.25,5.01,19.22,29.72,19.21,33.21
Zambia,31.72,7.39,20.08,26.86,22.07,54.14
Sri Lanka,31.61,7.74,20.2,35.09,18.76,24.45
North Macedonia,31.59,6.49,19.58,24.94,23.31,37.15
Paraguay,31.1,9.66,20.85,25.03,25.01,32.6
Nigeria,31,23.59,27.45,31.15,17.71,13.52
Colombia,30.66,9.58,20.58,25.05,22.44,31.12
Kazakhstan,30.64,9.78,20.66,24.31,29.87,38.36
Uganda,30.18,10.15,20.6,25.25,22.14,20.5
Algeria,30.1,5.34,18.26,30.71,15.89,28.69
Azerbaijan,29.92,9.48,20.15,23.74,30.36,30.2
Egypt,29.54,5.49,18.04,25.5,23.53,22.41
Nepal,29.05,4.77,17.44,24.91,20.36,21.9
Georgia,28.48,9.8,19.54,23.05,26.66,24.88
Kosovo (Disputed Territory),28.47,8.47,18.91,26.53,21.04,48.9
Venezuela,27.17,6.81,17.43,28.29,24.41,2.61
Tunisia,27.04,5.51,16.74,25.25,14.95,34.45
Kyrgyzstan,26.97,9.18,18.46,23.39,21.45,24.98
Uzbekistan,26.01,7.54,17.18,21.59,20.17,24.31
Syria,25.31,5.68,15.92,22.42,21.38,11.46
India,24.58,5.68,15.54,24.55,17.17,54.3
Afghanistan,24.24,4.03,14.58,17.7,17.38,28.2
Pakistan,21.98,4.59,13.66,19.08,16.78,30.57
