Country,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
Mexico,10.67,5.87,5.78,17.03,17.3,132.75,0.75
Tunisia,10.63,5.03,5.16,19.89,19.37,109.19,0.92
Greece,10.6,4.22,4.09,23.68,24.45,81.95,1.22
Slovenia,10.49,3.83,3.91,26.12,25.59,71.56,1.4
Costa Rica,10.31,5.96,5.21,16.79,19.2,119.42,0.84
Slovakia,10.25,5.1,5.43,19.6,18.42,60.15,1.66
United Kingdom,10.09,3.52,4.11,28.45,24.33,68.71,1.46
Guatemala,10.08,7.12,7.51,14.05,13.31,98.73,1.01
Malaysia,9.94,3.67,3.94,27.27,25.41,75.44,1.33
Italy,9.71,3.86,4.78,25.92,20.94,59.11,1.69
Bolivia,9.69,6.87,6.94,14.56,14.4,100.09,1
Germany,9.38,3.22,3.54,31.01,28.25,56.33,1.78
Spain,9.37,4.64,5.21,21.55,19.2,58.71,1.7
Sweden,9.27,3.08,3.5,32.45,28.54,61.57,1.62
Iraq,9.12,5.9,7.38,16.94,13.55,99.66,1
Oman,9.08,3.56,4.98,28.07,20.09,71.33,1.4
Estonia,9.06,4.02,4.12,24.9,24.26,57.2,1.75
Latvia,8.85,4.62,5.3,21.66,18.88,56.43,1.77
Norway,8.77,3.64,4.09,27.47,24.45,57.3,1.75
Switzerland,8.68,2.97,3.28,33.71,30.49,50.83,1.97
Bahrain,8.63,7.46,7.77,13.41,12.88,77.22,1.29
New Zealand,8.52,4.25,4.58,23.51,21.86,65.54,1.53
Bulgaria,8.52,5.23,5.76,19.14,17.36,61.27,1.63
Jordan,8.42,6.43,7.09,15.56,14.1,83.64,1.2
Finland,8.35,3.3,4.28,30.34,23.37,48.1,2.08
Cyprus,8.2,6.17,6.31,16.2,15.85,55.94,1.79
Canada,7.97,4.29,5.28,23.33,18.94,56.41,1.77
Turkey,7.81,5.53,5.95,18.09,16.81,155.46,0.64
Australia,7.52,4.47,4.67,22.35,21.43,55.61,1.8
Netherlands,7.51,5.28,5.56,18.93,17.98,47.12,2.12
Ireland,7.49,6.64,7.06,15.05,14.17,52.5,1.9
Denmark,7.45,4.04,4.07,24.77,24.58,44.56,2.24
Belgium,6.91,4.92,5.08,20.33,19.67,41.27,2.42
Iceland,6.74,6.47,7.16,15.46,13.96,59.36,1.68
Trinidad And Tobago,6.1,11.36,7.61,8.8,13.15,54.47,1.84
Qatar,5.82,7.19,7.38,13.92,13.54,45.3,2.21
United Arab Emirates,5.29,9.05,9.09,11.05,11,39.23,2.55
Namibia,5.15,10.34,10.3,9.67,9.71,65.42,1.53
Palestine,4.38,7.16,7.53,13.97,13.28,46.46,2.15
South Africa,3.93,9.85,11.3,10.15,8.85,47.5,2.11
Puerto Rico,3.53,9.34,8.12,10.7,12.31,27.25,3.67
United States,3.52,10.36,11.23,9.65,8.9,26.35,3.79
Saudi Arabia,2.79,7.22,8.04,13.84,12.43,20.64,4.85
