Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
Taiwan,143.23,65.67,84.35,86.71,61.37,23.69,31.93,63.35,84.38
Poland,141.83,59.61,71.5,61.01,40.04,11.38,31.72,54.46,76.14
Italy,140.76,65.59,55.74,66.59,67.26,9.71,34.42,55.63,92.27
South Korea,139.02,85.21,71.98,81.97,78.18,17.37,39.57,62.48,68.39
Belarus,134.83,37,75.01,59.04,34.7,14.65,30.68,43.63,64.37
Greece,133.07,43.68,59.68,56.21,55.67,10.6,33.84,52.55,94.18
Romania,132.44,48.86,72.36,55.06,35.31,11.33,34.75,58.42,77.62
South Africa,131.97,73.61,22.51,64.14,42.87,3.93,39.43,57.3,95.25
Bulgaria,129.8,49.37,61.5,55.4,36.7,8.52,29.39,65.33,82.76
Hungary,128.16,47.55,64.92,47.8,40.85,14.77,35.78,48.29,79.48
Turkey,127.1,40.85,60.51,69.8,34.69,7.81,44.65,67.35,93.26
Uruguay,125.98,37.46,46.19,66.28,51.04,16.34,39.89,44.84,98.04
Ecuador,125.14,36.08,49.1,70.59,40.98,12.7,37.55,57,94.51
Bosnia And Herzegovina,121.89,41.83,56.97,52.26,35.97,12.58,26.67,62.33,80.48
Chile,119.76,42.5,54.77,65.44,43.62,14.93,35.44,65.78,90.21
Mexico,118.55,41.81,46.03,70.12,35.72,10.67,39.39,66.1,86.29
Malaysia,118.44,64.49,41.16,68.1,39.12,9.94,37.03,63.18,57.92
Serbia,116.3,36.72,62.59,51.27,35.72,18.94,30.43,60.32,83.23
Georgia,115.95,24.88,79.79,51.24,28.48,14.21,36.02,71.09,84.2
Kuwait,115.75,85.59,65.25,56.21,50.37,12.28,34.44,68.69,20.22
Argentina,115.31,47.22,38.23,69.25,32.95,24.53,43.08,50.67,98.28
Jordan,112.4,34.88,59.17,64.6,53.67,8.42,42.03,77.78,89.05
North Macedonia,110.46,37.15,61.33,56.38,31.59,12.6,27.61,80.23,76.3
India,108.63,54.3,56.68,67.13,24.58,11.38,46.99,78.87,64.87
Panama,108.36,34.23,52.81,59.93,54.16,12.6,36.48,63.09,67.84
Lebanon,106.56,44.47,56.64,64.38,60.5,13.23,37.38,88.37,94.74
Colombia,105.83,31.12,45.21,67.24,30.66,19.65,47.49,62.83,96.69
Brazil,105.65,32.81,31.12,56.29,40.22,16.41,41.7,54.98,97.16
Morocco,105.46,35.25,51.31,45.72,34.32,14.18,36.89,70.64,91.7
Pakistan,105.44,30.57,55.92,60.59,21.98,11.98,38.56,74.25,71.93
Ukraine,104.77,31.8,51.15,52.33,33.18,12.23,38.65,65.08,71.42
China,102.81,60.88,68.17,64.48,40.04,29.06,41.81,80.77,79.19
Russia,102.31,38.94,58.88,57.59,39.21,10.77,45.3,62.79,40.36
Thailand,101.88,35.45,59.52,77.95,49.77,22.26,38.23,75.07,69.45
Hong Kong,99.05,65.32,79.3,66.08,77.22,47.46,41.46,67.69,83.64
Indonesia,97.47,25.05,54.16,60.48,37.27,18.88,43.11,66.56,74.15
Kazakhstan,88.31,38.36,37.98,50.7,30.64,10.86,31.08,75.15,39.78
Vietnam,87.48,28.14,54.65,57.7,38.34,21.36,30.17,86.47,71.24
Egypt,86.54,22.41,53.08,45.84,29.54,13.01,49.78,85.65,91.98
Peru,85.46,33.95,31.85,56.15,38.65,14.95,48.33,84.13,97.69
Philippines,85.37,23.48,57.84,67.47,37.63,24.6,44.63,74.28,60.81
Sri Lanka,85.16,24.45,59.78,72.53,31.61,31.14,59.01,59.14,59.11
Iran,74.14,22.69,50.75,51.7,39.01,25.11,48.01,77.45,70.99
Kenya,70.56,27.32,38.34,55.59,40.21,31.63,56.65,76.6,99.79
Bangladesh,70.03,33.21,36.06,42.8,32.25,13.1,56.73,86.21,71.29
Nigeria,55.65,13.52,36.23,51.59,31,16.7,61.08,87.63,60.75
